LSOA code,LSOA name
E01018339,Cheshire West and Chester 047A
W01000003,Isle of Anglesey 001A
W01000004,Isle of Anglesey 001B
W01000005,Isle of Anglesey 005A
W01000006,Isle of Anglesey 006A
W01000007,Isle of Anglesey 009A
W01000008,Isle of Anglesey 008A
W01000009,Isle of Anglesey 007C
W01000010,Isle of Anglesey 002A
W01000011,Isle of Anglesey 008B
W01000012,Isle of Anglesey 006B
W01000013,Isle of Anglesey 005B
W01000014,Isle of Anglesey 006C
W01000015,Isle of Anglesey 008C
W01000016,Isle of Anglesey 003A
W01000017,Isle of Anglesey 003B
W01000018,Isle of Anglesey 001C
W01000019,Isle of Anglesey 005C
W01000021,Isle of Anglesey 002C
W01000022,Isle of Anglesey 004A
W01000023,Isle of Anglesey 007D
W01000024,Isle of Anglesey 007E
W01000025,Isle of Anglesey 009B
W01000026,Isle of Anglesey 005D
W01000027,Isle of Anglesey 009C
W01000028,Isle of Anglesey 001D
W01000029,Isle of Anglesey 003C
W01000030,Isle of Anglesey 003D
W01000031,Isle of Anglesey 001E
W01000033,Isle of Anglesey 003E
W01000034,Isle of Anglesey 004B
W01000035,Isle of Anglesey 005E
W01000036,Isle of Anglesey 003F
W01000037,Isle of Anglesey 003G
W01000038,Isle of Anglesey 009D
W01000040,Isle of Anglesey 004D
W01000041,Isle of Anglesey 006D
W01000042,Isle of Anglesey 008D
W01000044,Isle of Anglesey 004F
W01000047,Gwynedd 011A
W01000050,Gwynedd 003A
W01000051,Gwynedd 015A
W01000052,Gwynedd 004A
W01000053,Gwynedd 004B
W01000054,Gwynedd 007A
W01000056,Gwynedd 009A
W01000057,Gwynedd 016C
W01000059,Gwynedd 006A
W01000061,Gwynedd 011B
W01000062,Gwynedd 001A
W01000063,Gwynedd 005A
W01000064,Gwynedd 002A
W01000065,Gwynedd 009B
W01000066,Gwynedd 010A
W01000067,Gwynedd 016D
W01000068,Gwynedd 016E
W01000071,Gwynedd 003B
W01000072,Gwynedd 002B
W01000073,Gwynedd 008A
W01000074,Gwynedd 013B
W01000075,Gwynedd 002C
W01000076,Gwynedd 001B
W01000077,Gwynedd 001C
W01000078,Gwynedd 011C
W01000080,Gwynedd 014C
W01000081,Gwynedd 005B
W01000082,Gwynedd 015C
W01000083,Gwynedd 015D
W01000084,Gwynedd 014D
W01000085,Gwynedd 017C
W01000086,Gwynedd 008B
W01000087,Gwynedd 004C
W01000088,Gwynedd 007B
W01000089,Gwynedd 011D
W01000090,Gwynedd 002D
W01000091,Gwynedd 001D
W01000092,Gwynedd 001E
W01000093,Gwynedd 006B
W01000094,Gwynedd 012B
W01000095,Gwynedd 012C
W01000096,Gwynedd 003C
W01000097,Gwynedd 003D
W01000098,Gwynedd 006C
W01000099,Gwynedd 005C
W01000100,Gwynedd 010B
W01000101,Gwynedd 013D
W01000102,Gwynedd 002E
W01000103,Gwynedd 005D
W01000104,Gwynedd 008C
W01000105,Gwynedd 010C
W01000106,Gwynedd 010D
W01000107,Gwynedd 010E
W01000108,Gwynedd 012D
W01000109,Gwynedd 012E
W01000110,Gwynedd 006D
W01000111,Gwynedd 007C
W01000112,Gwynedd 008D
W01000113,Gwynedd 009C
W01000114,Gwynedd 009D
W01000115,Gwynedd 003E
W01000116,Gwynedd 017D
W01000117,Gwynedd 017E
W01000118,Gwynedd 007D
W01000119,Gwynedd 004D
W01000121,Conwy 015A
W01000122,Conwy 014A
W01000123,Conwy 013A
W01000124,Conwy 012A
W01000125,Conwy 013B
W01000126,Conwy 009A
W01000127,Conwy 009B
W01000128,Conwy 009C
W01000129,Conwy 012B
W01000130,Conwy 012C
W01000131,Conwy 012D
W01000132,Conwy 001A
W01000133,Conwy 002A
W01000134,Conwy 015B
W01000135,Conwy 006A
W01000136,Conwy 006B
W01000137,Conwy 015C
W01000138,Conwy 008A
W01000139,Conwy 007A
W01000140,Conwy 010B
W01000141,Conwy 010C
W01000142,Conwy 010D
W01000143,Conwy 007B
W01000144,Conwy 007C
W01000145,Conwy 008B
W01000146,Conwy 001B
W01000147,Conwy 001C
W01000148,Conwy 015D
W01000149,Conwy 005A
W01000150,Conwy 005B
W01000151,Conwy 005C
W01000152,Conwy 005D
W01000153,Conwy 009D
W01000154,Conwy 003A
W01000155,Conwy 004A
W01000156,Conwy 004B
W01000157,Conwy 004C
W01000158,Conwy 004D
W01000159,Conwy 014B
W01000162,Conwy 014C
W01000163,Conwy 009E
W01000164,Conwy 009F
W01000165,Conwy 006C
W01000166,Conwy 006D
W01000167,Conwy 011C
W01000168,Conwy 002B
W01000169,Conwy 001D
W01000170,Conwy 013C
W01000171,Conwy 013D
W01000172,Conwy 013E
W01000173,Conwy 003B
W01000174,Conwy 003C
W01000175,Conwy 003D
W01000176,Conwy 011D
W01000177,Conwy 011E
W01000178,Conwy 010E
W01000179,Conwy 010F
W01000180,Conwy 008C
W01000181,Conwy 008D
W01000182,Conwy 007D
W01000183,Conwy 008E
W01000184,Conwy 005E
W01000185,Conwy 015E
W01000186,Conwy 001E
W01000187,Conwy 002C
W01000188,Conwy 002D
W01000189,Conwy 015F
W01000190,Conwy 014D
W01000191,Denbighshire 009A
W01000192,Denbighshire 016A
W01000193,Denbighshire 015A
W01000194,Denbighshire 011A
W01000195,Denbighshire 012A
W01000196,Denbighshire 012B
W01000197,Denbighshire 012C
W01000198,Denbighshire 011B
W01000199,Denbighshire 011C
W01000200,Denbighshire 008A
W01000201,Denbighshire 008B
W01000202,Denbighshire 015B
W01000203,Denbighshire 013A
W01000204,Denbighshire 013B
W01000205,Denbighshire 016B
W01000206,Denbighshire 013C
W01000207,Denbighshire 015C
W01000208,Denbighshire 016C
W01000209,Denbighshire 016D
W01000210,Denbighshire 016E
W01000211,Denbighshire 012D
W01000212,Denbighshire 003A
W01000213,Denbighshire 002A
W01000214,Denbighshire 002B
W01000215,Denbighshire 002C
W01000216,Denbighshire 002D
W01000217,Denbighshire 008C
W01000218,Denbighshire 001A
W01000219,Denbighshire 001B
W01000220,Denbighshire 001C
W01000221,Denbighshire 003B
W01000222,Denbighshire 003C
W01000223,Denbighshire 009B
W01000224,Denbighshire 009C
W01000225,Denbighshire 009D
W01000226,Denbighshire 004A
W01000227,Denbighshire 004B
W01000228,Denbighshire 004C
W01000229,Denbighshire 017E
W01000230,Denbighshire 017F
W01000231,Denbighshire 017A
W01000232,Denbighshire 017B
W01000233,Denbighshire 017C
W01000234,Denbighshire 017G
W01000235,Denbighshire 017D
W01000236,Denbighshire 006A
W01000237,Denbighshire 006B
W01000238,Denbighshire 006C
W01000239,Denbighshire 004D
W01000240,Denbighshire 004E
W01000241,Denbighshire 004F
W01000242,Denbighshire 014A
W01000243,Denbighshire 014B
W01000244,Denbighshire 014C
W01000245,Denbighshire 010A
W01000246,Denbighshire 010B
W01000247,Denbighshire 010C
W01000248,Denbighshire 008D
W01000249,Flintshire 014A
W01000250,Flintshire 014B
W01000251,Flintshire 013A
W01000252,Flintshire 010A
W01000253,Flintshire 003A
W01000254,Flintshire 003B
W01000255,Flintshire 015A
W01000256,Flintshire 015B
W01000257,Flintshire 015C
W01000258,Flintshire 006A
W01000259,Flintshire 017A
W01000260,Flintshire 017B
W01000261,Flintshire 014C
W01000262,Flintshire 017C
W01000263,Flintshire 017D
W01000264,Flintshire 012A
W01000265,Flintshire 012B
W01000266,Flintshire 017E
W01000267,Flintshire 017F
W01000268,Flintshire 013B
W01000269,Flintshire 020A
W01000270,Flintshire 006B
W01000271,Flintshire 006C
W01000272,Flintshire 006D
W01000273,Flintshire 007A
W01000274,Flintshire 007B
W01000275,Flintshire 007C
W01000276,Flintshire 008A
W01000277,Flintshire 008B
W01000278,Flintshire 007D
W01000279,Flintshire 008C
W01000280,Flintshire 010B
W01000281,Flintshire 008D
W01000282,Flintshire 010C
W01000283,Flintshire 008E
W01000284,Flintshire 013C
W01000285,Flintshire 013D
W01000286,Flintshire 013E
W01000287,Flintshire 001A
W01000288,Flintshire 004A
W01000289,Flintshire 005A
W01000290,Flintshire 004B
W01000291,Flintshire 005B
W01000292,Flintshire 004C
W01000293,Flintshire 004D
W01000294,Flintshire 005C
W01000295,Flintshire 005D
W01000296,Flintshire 003C
W01000297,Flintshire 003D
W01000298,Flintshire 001B
W01000299,Flintshire 019A
W01000300,Flintshire 019B
W01000301,Flintshire 006E
W01000302,Flintshire 013F
W01000303,Flintshire 018A
W01000304,Flintshire 003E
W01000305,Flintshire 003F
W01000306,Flintshire 002A
W01000307,Flintshire 020B
W01000308,Flintshire 020C
W01000309,Flintshire 019C
W01000310,Flintshire 020D
W01000311,Flintshire 011A
W01000312,Flintshire 011B
W01000313,Flintshire 016A
W01000314,Flintshire 016B
W01000315,Flintshire 016C
W01000316,Flintshire 016D
W01000317,Flintshire 016E
W01000318,Flintshire 016F
W01000319,Flintshire 016G
W01000320,Flintshire 002B
W01000321,Flintshire 014D
W01000322,Flintshire 014E
W01000323,Flintshire 012C
W01000324,Flintshire 012D
W01000325,Flintshire 010D
W01000326,Flintshire 018B
W01000327,Flintshire 018C
W01000328,Flintshire 011C
W01000329,Flintshire 015D
W01000330,Flintshire 015E
W01000331,Flintshire 015F
W01000332,Flintshire 009A
W01000333,Flintshire 009B
W01000334,Flintshire 009C
W01000335,Flintshire 009D
W01000336,Flintshire 009E
W01000337,Flintshire 009F
W01000338,Flintshire 001C
W01000339,Flintshire 019D
W01000340,Flintshire 002C
W01000341,Wrexham 023C
W01000342,Wrexham 023E
W01000343,Wrexham 023B
W01000344,Wrexham 023A
W01000345,Wrexham 018A
W01000346,Wrexham 018B
W01000347,Wrexham 006A
W01000348,Wrexham 006B
W01000349,Wrexham 011A
W01000350,Wrexham 011B
W01000351,Wrexham 005A
W01000354,Wrexham 017A
W01000355,Wrexham 017B
W01000356,Wrexham 017C
W01000359,Wrexham 019C
W01000360,Wrexham 019D
W01000361,Wrexham 019E
W01000362,Wrexham 006C
W01000363,Wrexham 006D
W01000364,Wrexham 006E
W01000365,Wrexham 011C
W01000366,Wrexham 014A
W01000367,Wrexham 014B
W01000368,Wrexham 008A
W01000369,Wrexham 021B
W01000370,Wrexham 021D
W01000371,Wrexham 008B
W01000372,Wrexham 008C
W01000373,Wrexham 005B
W01000374,Wrexham 003A
W01000375,Wrexham 003B
W01000376,Wrexham 003C
W01000377,Wrexham 004A
W01000378,Wrexham 004B
W01000379,Wrexham 004C
W01000380,Wrexham 004D
W01000381,Wrexham 012A
W01000382,Wrexham 012B
W01000384,Wrexham 022C
W01000385,Wrexham 014C
W01000386,Wrexham 015A
W01000387,Wrexham 008D
W01000388,Wrexham 008E
W01000389,Wrexham 017D
W01000390,Wrexham 021A
W01000391,Wrexham 003D
W01000392,Wrexham 003E
W01000393,Wrexham 023G
W01000394,Wrexham 016A
W01000395,Wrexham 016B
W01000398,Wrexham 013A
W01000399,Wrexham 013B
W01000400,Wrexham 005C
W01000401,Wrexham 005D
W01000402,Wrexham 011D
W01000403,Wrexham 018C
W01000404,Wrexham 018D
W01000405,Wrexham 015B
W01000406,Wrexham 013C
W01000407,Wrexham 016C
W01000408,Wrexham 013D
W01000409,Wrexham 017E
W01000410,Wrexham 014D
W01000411,Wrexham 015C
W01000412,Wrexham 015D
W01000413,Wrexham 010C
W01000414,Wrexham 010D
W01000415,Wrexham 023F
W01000416,Wrexham 023D
W01000417,Wrexham 022B
W01000418,Wrexham 022A
W01000419,Wrexham 016D
W01000420,Wrexham 016E
W01000422,Wrexham 008F
W01000423,Wrexham 012D
W01000424,Wrexham 012E
W01000425,Wrexham 010E
W01000442,Powys 004A
W01001926,Conwy 011F
W01001927,Conwy 010G
W01001928,Conwy 010H
W01001929,Wrexham 012F
W01001930,Wrexham 019F
W01001931,Wrexham 012G
W01001932,Gwynedd 014E
W01001933,Gwynedd 017F
W01001969,Wrexham 010F
W01001971,Wrexham 022D
W01001972,Wrexham 022E
W01002003,Gwynedd 013E
W01002004,Gwynedd 016F
W01002005,Isle of Anglesey 002E
W01002007,Isle of Anglesey 004G
W01002008,Isle of Anglesey 007F
W01000060,Gwynedd 015B
W01000070,Gwynedd 012A
W01001970,Wrexham 021C
E01018357,Cheshire West and Chester 047D
E01018373,Cheshire West and Chester 047E
E01018552,Cheshire West and Chester 011D
E01028925,Shropshire 003F
E01018330,Cheshire West and Chester 034D
E01018313,Cheshire West and Chester 031A
E01018332,Cheshire West and Chester 043A
E01028864,Shropshire 004A
E01018317,Cheshire West and Chester 031E
E01028920,Shropshire 003D
E01018352,Cheshire West and Chester 044B
